phase,problem_key,problem,encoding,run,seed,final_best_fitness,best_solution,stopped_generation,function_evaluations,elite_size,mutation_probability
main,ackley_n2,"Ackley function, n=2",binary,3,15003,1.9531377195569632e-06,"[4.8828126e-07, -4.8828125e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,4,15004,1.9531377195569632e-06,"[4.8828126e-07, -4.8828125e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,5,15005,1.9531377195569632e-06,"[4.8828126e-07, -4.8828125e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,6,15006,1.9531377195569632e-06,"[-4.8828125e-07, 4.8828126e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,7,15007,1.953137733767818e-06,"[4.8828126e-07, 4.8828126e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,8,15008,1.9531377195569632e-06,"[4.8828126e-07, -4.8828125e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,9,15009,1.9531377195569632e-06,"[4.8828126e-07, -4.8828125e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,10,15010,1.953137733767818e-06,"[4.8828126e-07, 4.8828126e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,11,15011,1.9531377195569632e-06,"[4.8828126e-07, -4.8828125e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,12,15012,1.9531377195569632e-06,"[4.8828126e-07, -4.8828125e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,13,15013,1.9531377053461085e-06,"[-4.8828125e-07, -4.8828125e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,14,15014,1.9531377195569632e-06,"[-4.8828125e-07, 4.8828126e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,15,15015,1.953137733767818e-06,"[4.8828126e-07, 4.8828126e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,16,15016,1.953137733767818e-06,"[4.8828126e-07, 4.8828126e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,17,15017,1.9531377053461085e-06,"[-4.8828125e-07, -4.8828125e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,18,15018,1.953137733767818e-06,"[4.8828126e-07, 4.8828126e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,19,15019,1.953137733767818e-06,"[4.8828126e-07, 4.8828126e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",binary,20,15020,1.953137733767818e-06,"[4.8828126e-07, 4.8828126e-07]",375,37600,1,0.019230769230769232
main,ackley_n2,"Ackley function, n=2",real,1,16001,0.0008545734405029926,"[-0.00013282173, 0.00027042502]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,2,16002,0.004686194304721614,"[-0.0015934491, 0.0003514799]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,3,16003,0.0019016997088567855,"[-0.0002732344, -0.00060972677]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,4,16004,0.0006489982491832968,"[-6.2059366e-06, 0.00022887787]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,5,16005,0.004489689128327701,"[0.0012189927, -0.00098036414]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,6,16006,0.0008725721586100299,"[-0.00019764859, 0.00023570946]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,7,16007,0.0020425881740995244,"[0.00044805278, -0.00056017528]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,8,16008,0.002098256655380215,"[0.0005499507, -0.0004902385]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,9,16009,0.003735516639107761,"[-0.00039635504, 0.0012430169]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,10,16010,0.0009841945890660675,"[0.00033577204, -8.6891581e-05]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,11,16011,0.004186654497502662,"[-0.0014597261, -3.453192e-05]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,12,16012,0.003911737658900183,"[-0.0012658195, 0.00051202444]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,13,16013,0.0031729615910873754,"[0.00069016147, -0.00086961926]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,14,16014,0.005216311177794086,"[0.00047665298, -0.0017495207]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,15,16015,0.006046373204199984,"[-0.0020795832, -0.00026455578]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,16,16016,0.0022386612637359526,"[-4.2957175e-05, 0.00078449962]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,17,16017,0.001693606137930903,"[-0.00059035016, 7.7705713e-05]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,18,16018,0.002410417621810712,"[0.00071284426, 0.00045463389]",375,37600,1,0.5
main,ackley_n2,"Ackley function, n=2",real,19,16019,0.0009853456701596208,"[0.0002596428, -0.00023056292]",375,37600,1,0.5
